id,description,en,fr
countries.MAC,,"China, Macao Special Administrative Region","Chine, Région administrative spéciale de Macao"
countries.MAF,,Saint Martin (French Part),Saint Martin (partie française)
countries.MAR,,Morocco,Maroc
countries.MCO,,Monaco,Monaco
countries.MDA,,Republic of Moldova,République de Moldavie
countries.MDG,,Madagascar,Madagascar
countries.MDV,,Maldives,Maldives
countries.MEX,,Mexico,Mexique
countries.MHL,,Marshall Islands,Îles Marshall
countries.MKD,,The former Yugoslav Republic of Macedonia,L'ancienne République yougoslave de Macédoine
countries.MLI,,Mali,Mali
countries.MLT,,Malta,Malte
countries.MMR,,Myanmar,Myanmar
countries.MNE,,Montenegro,Monténégro
countries.MNG,,Mongolia,Mongolie
countries.MNP,,Northern Mariana Islands,Mariannes du Nord (îles)
countries.MOZ,,Mozambique,Mozambique
countries.MRT,,Mauritania,Mauritanie
countries.MSR,,Montserrat,Montserrat
countries.MTQ,,Martinique,Martinique
countries.MUS,,Mauritius,Maurice
countries.MWI,,Malawi,Malawi
countries.MYS,,Malaysia,Malaisie
countries.MYT,,Mayotte,Mayotte
countries.NAM,,Namibia,Namibie
countries.NCL,,New Caledonia,Nouvelle-Calédonie
countries.NER,,Niger,Niger
countries.NFK,,Norfolk Island,Île Norfolk
countries.NGA,,Nigeria,Nigeria
countries.NIC,,Nicaragua,Nicaragua
countries.NIU,,Niue,Niue
countries.NLD,,Netherlands,Pays-Bas
countries.NOR,,Norway,Norvège
countries.NPL,,Nepal,Népal
countries.NRU,,Nauru,Nauru
countries.NZL,,New Zealand,Nouvelle-Zélande
countries.OMN,,Oman,Oman
countries.PAK,,Pakistan,Pakistan
countries.PAN,,Panama,Panama
countries.PCN,,Pitcairn,Pitcairn
countries.PER,,Peru,Pérou
countries.PHL,,Philippines,Philippines
countries.PLW,,Palau,Palau
countries.PNG,,Papua New Guinea,Papouasie-Nouvelle-Guinée
countries.POL,,Poland,Pologne
countries.PRI,,Puerto Rico,Porto Rico
countries.PRK,,Democratic People's Republic of Korea,République populaire démocratique de Corée
countries.PRT,,Portugal,Portugal
countries.PRY,,Paraguay,Paraguay
countries.PSE,,State of Palestine,Etat de Palestine
countries.PYF,,French Polynesia,Polynésie française
countries.QAT,,Qatar,Qatar
countries.REU,,Réunion,Réunion
countries.ROU,,Romania,Roumanie
countries.RUS,,Russian Federation,Fédération de Russie
countries.RWA,,Rwanda,Rwanda
countries.SAU,,Saudi Arabia,Arabie Saoudite
countries.SDN,,Sudan,Soudan
countries.SEN,,Senegal,Sénégal
countries.SGP,,Singapore,Singapour
countries.SGS,,South Georgia and the South Sandwich Islands,Géorgie du Sud et les îles Sandwich du Sud
countries.SHN,,Saint Helena,Sainte-Hélène
countries.SJM,,Svalbard and Jan Mayen Islands,Svalbard et Jan Mayen (îles)
countries.SLB,,Solomon Islands,Salomon (îles)
countries.SLE,,Sierra Leone,Sierra Leone
countries.SLV,,El Salvador,El Salvador
countries.SMR,,San Marino,Saint-Marin
countries.SOM,,Somalia,Somalie
countries.SPM,,Saint Pierre and Miquelon,Saint Pierre et Miquelon
countries.SRB,,Serbia,Serbie
countries.SSD,,South Sudan,Sud-Soudan
countries.STP,,Sao Tome and Principe,Sao Tomé et Principe
countries.SUR,,Suriname,Suriname
countries.SVK,,Slovakia,Slovaquie
countries.SVN,,Slovenia,Slovénie
countries.SWE,,Sweden,Suède
countries.SWZ,,Eswatini,Eswatini
countries.SXM,,Sint Maarten (Dutch part),Sint Maarten (partie néerlandaise)
countries.SYC,,Seychelles,Seychelles
countries.SYR,,Syrian Arab Republic,République arabe syrienne
countries.TCA,,Turks and Caicos Islands,Îles Turks et Caicos
countries.TCD,,Chad,Tchad
countries.TGO,,Togo,Togo
countries.THA,,Thailand,Thaïlande
countries.TJK,,Tajikistan,Tadjikistan
countries.TKL,,Tokelau,Tokelau
countries.TKM,,Turkmenistan,Turkménistan
countries.TLS,,Timor-Leste,Timor-Leste
countries.TON,,Tonga,Tonga
countries.TTO,,Trinidad and Tobago,Trinité-et-Tobago
countries.TUN,,Tunisia,Tunisie
countries.TUR,,Turkey,Turquie
countries.TUV,,Tuvalu,Tuvalu
countries.TZA,,United Republic of Tanzania,République-Unie de Tanzanie
countries.UGA,,Uganda,Ouganda
countries.UKR,,Ukraine,Ukraine
countries.UMI,,United States Minor Outlying Islands,Îles mineures éloignées des États-Unis
countries.URY,,Uruguay,Uruguay
countries.USA,,United States of America,États-Unis d'Amérique
countries.UZB,,Uzbekistan,Ouzbékistan
countries.VAT,,Holy See,Saint-Siège
countries.VCT,,Saint Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines
countries.VEN,,Venezuela (Bolivarian Republic of),Venezuela (République bolivarienne du)
countries.VGB,,British Virgin Islands,Vierges britanniques (îles)
countries.VIR,,United States Virgin Islands,Vierges américaines (îles)
countries.VNM,,Viet Nam,Viet Nam
countries.VUT,,Vanuatu,Vanuatu
countries.WLF,,Wallis and Futuna Islands,Wallis et Futuna (îles)
countries.WSM,,Samoa,Samoa
countries.YEM,,Yemen,Yémen
countries.ZAF,,South Africa,Afrique du Sud
countries.ZMB,,Zambia,Zambie
countries.ZWE,,Zimbabwe,Zimbabwe
duplicates.button.markAsDuplicate,Mark as duplicate button text,Mark as duplicate,Marquer comme duplicata
duplicates.button.notDuplicate,Not a duplicate button text,Not a duplicate,Pas un duplicata
duplicates.compare.supportingDocuments,Supporting documents header for duplicates comparison,Supporting documents,Documents justificatifs
duplicates.compare.title,Duplicate compare page title message,Review {actualTrackingId} against {duplicateTrackingId},Comparez {actualTrackingId} avec {duplicateTrackingId}
duplicates.content.duplicateDropdownMessage,Selecting from the duplicate trackingIds,Duplicate of,Duplicata de
duplicates.content.header,Declaration details header of two duplicate ones,Declaration details,Détails de la déclaration
duplicates.content.markAsDuplicate,Mark as duplicate content confirmation title message,Mark {trackingId} as duplicate?,Marquer {trackingId} comme dupliqué?
duplicates.content.markAsDuplicateReason,Review page header for duplicates declarations,Please describe your reason,Veuillez décrire votre raison
duplicates.content.notDuplicateConfirmationTitle,Not a duplicate content confirmation title message,Are you sure {name} ({trackingId}) is not duplicate?,Êtes-vous sûr que {name} ({trackingId}) n'est pas en double?
duplicates.content.notDuplicateContentConfirmationDescription,Not a duplicate content confirmation description message,"By clicking 'Confirm', the event will be marked as not a duplicate.","En cliquant sur 'Confirmer', l'événement sera marqué comme n'étant pas un doublon."
duplicates.content.registeredAt,Registered at label for duplicates comparison,Registered at,Enregistré à
duplicates.content.registeredBy,Registered by label for duplicates comparison,Registered by,Enregistré par
duplicates.content.subtitle,Duplicates content subtitle message,"This record was flagged as a potential duplicate of: {trackingIds}. Please review these by clicking on each tracking ID in the tab section to view a side-by-side comparison below, and confirm if this record is a duplicate",Cet enregistrement a été signalé comme un doublon potentiel de : {trackingIds}. Veuillez les examiner en cliquant sur chaque identifiant de suivi dans la section des onglets pour afficher une comparaison côte à côte ci-dessous et confirmer si cet enregistrement est un doublon
duplicates.content.title,Duplicates content title message,Is {name} ({trackingId}) a duplicate?,Est-ce que {name} ({trackingId}) est un doublon?
duplicates.review.header,Review page header for duplicates declarations,Potential {event} duplicate review,Potentiel {event} examen de doublon
duplicates.reviewUnavailable.description,Body of the banner shown when the user cannot access every record matched as a potential duplicate,"It is flagged against a record registered outside your jurisdiction, which you are not permitted to view. The review must be completed by someone with access to both records.","Il est signalé par rapport à un enregistrement enregistré en dehors de votre juridiction, que vous n'êtes pas autorisé à consulter. L'examen doit être effectué par une personne ayant accès aux deux enregistrements."
duplicates.reviewUnavailable.title,Title of the banner shown when the user cannot access every record matched as a potential duplicate,You cannot review this record for duplicates,Vous ne pouvez pas examiner cet enregistrement pour les doublons
duplicates.warning,The warning message shown when a declaration has potential duplicates,Potential duplicate of record {trackingId},Duplicata potentiel de l'enregistrement {trackingId}
editPageBanner.declaredMessage,The message for the edit page banner,You are editing a record declared by {name} ({role} at {location}),Vous modifiez un dossier déclaré par {name} ({role} à {location})
editPageBanner.notifiedMessage,The message for the edit page banner,You are editing a record notified by {name} ({role} at {location}),Vous modifiez un dossier déclaré par {name} ({role} à {location})
email.label.confirmation,Confirmation email address message,A verification code has been sent to {email},Un code de vérification a été envoyé à {email}
error.code,Error code,401,401
error.occurred,The error message that displays if we want the user to try the action again,An error occurred. Please try again.,Une erreur s'est produite. Veuillez réessayer.
error.officeInactive,Title shown when a user's assigned office is inactive,Your assigned office has been made inactive,Votre bureau assigné a été désactivé
error.officeInactiveDescription,Description shown when a user's assigned office is inactive,Please contact your administrator to be reassigned,Veuillez contacter votre administrateur pour être réaffecté.
error.page.load.failed,Error message when page failed to load,"Sorry, we couldn't load the content for this page","Désolé, nous n'avons pas pu charger le contenu de cette page."
error.passwordSubmissionError,Error message when password verification fails,Sorry that password did not work,Désolé que le mot de passe n'ait pas fonctionné
error.pdf,PDF load Error,Failed to load PDF,Échec du chargement du PDF
error.required.password,New password required,New password is not valid,Le nouveau mot de passe n'est pas valide
error.search,The error message shown when a search query fails,An error occurred while searching,Une erreur s'est produite lors de la recherche
error.somethingWentWrong,Error description,Something went wrong.,Quelque chose s'est mal passé.
error.title,Error title,Oops!,Oups !
error.title.unauthorized,Error title unauthorized,Unauthorized!,Non autorisé !
error.weAreTryingToFixThisError,Error description,This page could not be found,"Ce n'est pas vous, c'est nous. C'est notre faute."
errors.notAssigned,User not assigned error toast message,You've been unassigned from the event,Vous avez été désassigné de l'événement
errors.somethingWentWrong,Error toast message for general errors,Something went wrong. Please try again,Une erreur s'est produite. Veuillez réessayer
event.action.notAvailableForEvent,Shown when user tries to perform an action that is not available for the event,The action you're trying to perform is not available for this event anymore,L'action que vous essayez d'effectuer n'est plus disponible pour cet événement
event.action.outbox-retry.label,Label for retry button for outbox,Retry,Réessayer
event.action.review-correction.label,Label for review correction button in dropdown menu,Review correction request,Revoir la demande de correction
event.birth.action.archive.label,Label for archive record button in dropdown menu,Archive,Aarchiver
event.birth.action.collect-certificate.label,This is shown as the action name anywhere the user can trigger the action from,Print,Imprimer
event.birth.action.declare.label,This is shown as the action name anywhere the user can trigger the action from,Declare,Declare
event.birth.action.delete.label,Label for delete button in dropdown menu,Delete,Supprimer
event.birth.action.mark-as-duplicate.label,Label for review potential duplicate button in dropdown menu,Review potential duplicates,Examiner les doublons potentiels
event.birth.action.register.label,Label for review record button in dropdown menu,Register,Enregistrer
event.birth.action.reject.label,This is the label for the reject action,Reject,Rejeter
event.birth.action.request-correction.label,This is shown as the action name anywhere the user can trigger the action from,Correct,Corriger
event.birth.action.unarchive.label,Label for unarchive record button in dropdown menu,Unarchive,Désarchiver
event.declaration.potentialDuplicateDetected,Notification for potential duplicate declaration. Shown when a potential duplicate is detected after declaring an event.,{trackingId} is a potential duplicate. Record is ready for review.,{trackingId} est un doublon potentiel. L’enregistrement est prêt pour révision.
event.default.action.certificate.template.type.label,Select certificate template,Type,Taper
event.default.action.certificate.template.type.notFound,Select certificate template options not found,"No template available for this event, contact Admin","Aucun modèle disponible pour cette event, contactez l’admin"
event.edit.cancelEdits,"Label for ""Cancel edits"" in edit action menu",Cancel edits,
event.edit.comment.label,The label for the comment,Comments,Commentaires
event.edit.declareWithEdits.label,Label for `Declare with edits` in edit action menu,Declare with edits,Déclarer avec modifications
event.edit.notifyWithEdits.label,Label for `Notify with edits` in edit action menu,Notify with edits,Notifier avec modifications
event.edit.registerWithEdits.label,Label for `Register with edits` in edit action menu,Register with edits,Enregistrer avec modifications
event.history.role,Label for the role in event history,"{role, select, LOCAL_REGISTRAR {Registrar} REGISTRATION_AGENT {Registration Officer} HOSPITAL_CLERK {Hospital Official} LOCAL_SYSTEM_ADMIN {Administrator} NATIONAL_REGISTRAR {Registrar General} PERFORMANCE_MANAGER {Operations Manager} NATIONAL_SYSTEM_ADMIN {National Administrator} COMMUNITY_LEADER {Community Leader} PROVINCIAL_REGISTRAR {Provincial Registrar} EMBASSY_OFFICIAL {Embassy Official} HEALTH_ADMINISTRATOR {Health Administrator} other {Unknown}}","{role, select, LOCAL_REGISTRAR {Officier d'état civil local} REGISTRATION_AGENT {Agent d'enregistrement} PERFORMANCE_MANAGER {Responsable des opérations} LOCAL_SYSTEM_ADMIN {Administrateur} NATIONAL_SYSTEM_ADMIN {Administrateur national} NATIONAL_REGISTRAR {Registraire général} HOSPITAL_CLERK {Officiel de l'hôpital} COMMUNITY_LEADER {Responsable communautaire} PROVINCIAL_REGISTRAR {Registraire provincial} EMBASSY_OFFICIAL {Officiel d'ambassade} HEALTH_ADMINISTRATOR {Administrateur de santé} other {Inconnu}}"
event.history.system,Name for system initiated actions in the event history,System,System
event.history.systemDefaultName,Fallback for system integration name in the event history,System integration,Intégration système
event.not.downloaded,Shown when user tries to perform an action on event that is not available,Please ensure the event is first assigned and downloaded to the browser.,Veuillez vous assurer que l'événement est d'abord attribué et téléchargé dans le navigateur.
event.summary.assignedTo.empty,Not assigned message,Not assigned,Non assigné
event.summary.assignedTo.label,Assigned to label,Assigned to,Assigné à
event.summary.assignedTo.value,Assigned to value,{event.assignedTo},{event.assignedTo}
event.summary.event.label,Label for the event field,Event,Événement
event.summary.flags.label,Flags of the event,Flags,Drapeaux
event.summary.flags.placeholder,Message when no flags are present,No flags,Pas de drapeaux
event.summary.redacted,Accessible name for a value the user is not permitted to see,Hidden,Masqué
event.summary.registrationNumber.empty,No registration number message,No registration number,Aucun numéro d'inscription
event.summary.registrationNumber.label,Label for the registration number field,Registration Number,Numéro d'inscription
event.summary.registrationNumber.value,Value for the registration number field,{event.registrationNumber},{event.registrationNumber}
event.summary.status.label,Label for the status field,Status,Statut
event.summary.status.value,Value for the status field,"{event.status, select, CREATED {Draft} NOTIFIED {Notified} VALIDATED {Validated} DRAFT {Draft} DECLARED {Declared} REGISTERED {Registered} CERTIFIED {Certified} REJECTED {Requires update} ARCHIVED {Archived} MARKED_AS_DUPLICATE {Marked as a duplicate} MARK_AS_NOT_DUPLICATE {Marked not a duplicate} other {Unknown}}","{event.status, select, CREATED {Brouillon} NOTIFIED {Incomplet} VALIDATED {Validé} DRAFT {Brouillon} DECLARED {Déclaré} REGISTERED {Enregistré} CERTIFIED {Certifié} REJECTED {Requiert une mise à jour} ARCHIVED {Archivé} MARKED_AS_DUPLICATE {Marqué comme doublon} MARK_AS_NOT_DUPLICATE {Marqué comme non en doublon} other {Inconnu}}"
event.summary.trackingId.empty,Message when tracking ID is empty,No tracking ID,Aucun ID de suivi
event.summary.trackingId.label,Label for the tracking ID field,Tracking ID,ID de suivi
event.summary.trackingId.value,Value for the tracking ID field,{event.trackingId},{event.trackingId}
events.history.status,Events status history,"{status, select, Requested {Waiting for external validation} other {{action, select, CREATE {Declaration started} NOTIFY {Notified} EDIT {Edited} VALIDATE {Sent for approval} DRAFT {Draft} DECLARE {Declared} REGISTER {Registered} PRINT_CERTIFICATE {Certified} REJECT {Rejected} ARCHIVE {Archived} UNARCHIVE {Unarchived} DUPLICATE_DETECTED {Flagged as potential duplicate} MARK_AS_DUPLICATE {Marked as a duplicate} MARK_AS_NOT_DUPLICATE {Marked not a duplicate} CORRECTED {Record corrected} REQUEST_CORRECTION {Correction requested} APPROVE_CORRECTION {Correction approved} REJECT_CORRECTION {Correction rejected} READ {Viewed} ASSIGN {Assigned} UNASSIGN {Unassigned} other {Unknown}}}}","{status, select, Requested {En attente de validation externe} other {{action, select, CREATE {Déclaration commencée} NOTIFY {Envoyé incomplet} EDIT {Modifié} VALIDATE {Envoyé pour approbation} DRAFT {Brouillon} DECLARE {Envoyé pour révision} REGISTER {Enregistré} PRINT_CERTIFICATE {Certifié} REJECT {Rejeté} ARCHIVE {Archivé} UNARCHIVE {Désarchivé} DUPLICATE_DETECTED {Marqué comme doublon} MARK_AS_DUPLICATE {Marqué comme doublon} MARK_AS_NOT_DUPLICATE {Marqué comme non en doublon} CORRECTED {Enregistrement corrigé} REQUEST_CORRECTION {Correction demandée} APPROVE_CORRECTION {Correction approuvée} REJECT_CORRECTION {Correction refusée} READ {Consulté} ASSIGN {Attribué} UNASSIGN {Désattribué} other {Inconnu}}}}"
events.outbox.processingAction,Message in outbox when processing action,"{action, select, DECLARE {Sending} REGISTER {Registering} VALIDATE {Sending for approval} NOTIFY {Sending} REJECT {Sending for updates} ARCHIVE {Archiving} PRINT_CERTIFICATE {Certifying} REQUEST_CORRECTION {Requesting correction} APPROVE_CORRECTION {Approving correction} REJECT_CORRECTION {Rejecting correction} ASSIGN {Assigning} UNASSIGN {Unassigning} other {processing action}}","{action, select, DECLARE {Envoi} REGISTER {Enregistrement} VALIDATE {Envoi pour approbation} NOTIFY {Envoi} REJECT {Envoi pour mise à jour} ARCHIVE {Archivage} PRINT_CERTIFICATE {Certification} REQUEST_CORRECTION {Demande de correction} APPROVE_CORRECTION {Approbation de la correction} REJECT_CORRECTION {Rejet de la correction} ASSIGN {Attribution} UNASSIGN {Désattribution} other {action en cours}}"
events.outbox.waitingForAction,Message in outbox when waiting for action,"Waiting to {action, select, DECLARE {send} CREATE {send} REGISTER {register} VALIDATE {send for approval} NOTIFY {send} REJECT {send for updates} ARCHIVE {archive} PRINT_CERTIFICATE {certify} REQUEST_CORRECTION {request correction} APPROVE_CORRECTION {approve correction} REJECT_CORRECTION {reject correction} ASSIGN {assign} UNASSIGN {unassign} other {action}}","En attente de {action, select, DECLARE {l'envoi} CREATE {l'envoi} REGISTER {l'enregistrement} VALIDATE {l'envoi pour approbation} NOTIFY {l'envoi} REJECT {l'envoi pour mise à jour} ARCHIVE {l'archivage} PRINT_CERTIFICATE {la certification} REQUEST_CORRECTION {la demande de correction} APPROVE_CORRECTION {l'approbation de la correction} REJECT_CORRECTION {le rejet de la correction} ASSIGN {l'attribution} UNASSIGN {la désattribution} other {l'action}}"
events.overview.tabs.audit,Title of the Audit tab,Audit,Audit
events.overview.tabs.record,Title of the Record tab,Record,Enregistrement
events.overview.tabs.summary,Title of the Summary tab,Summary,Récapitulatif
events.status,Dynamic event status,"{status, select, OUTBOX {Syncing..} CREATED {Draft} VALIDATED {Validated} DRAFT {Draft} DECLARED {Declared} REGISTERED {Registered} CERTIFIED {Certified} REJECTED {Rejected} ARCHIVED {Archived} MARKED_AS_DUPLICATE {Marked as a duplicate} MARK_AS_NOT_DUPLICATE {Marked not a duplicate} NOTIFIED {In progress} other {Unknown}}","{status, select, OUTBOX {Synchronisation..} CREATED {Brouillon} VALIDATED {Validé} DRAFT {Brouillon} DECLARED {Déclaré} REGISTERED {Enregistré} CERTIFIED {Certifié} REJECTED {Nécessite une mise à jour} ARCHIVED {Archivé} MARKED_AS_DUPLICATE {Marqué comme doublon} MARK_AS_NOT_DUPLICATE {Marqué comme non en doublon} NOTIFIED {Notifié} other {Inconnu}}"
exitModal.cancel, Modal cancel button,Cancel,Annuler
exitModal.exitWithoutSaving,exitmodal without saving label,Exit without saving changes?,Quitter sans enregistrer les modifications?
exitModal.exitWithoutSavingDescription, exitmodal without saving  description,You have unsaved changes on your declaration form. Are you sure you want to exit without saving?,Vous avez des modifications non enregistrées sur votre formulaire de déclaration. Voulez-vous vraiment quitter sans enregistrer ?
field.address.country.label,Label for country in address,Country,Pays
field.address.district.label,Label for district in address,District,District
field.address.province.label,Label for province in address,Province,Province
field.name.firstname.label,This is the label for the firstname field,First name(s),Prénom(s)
field.name.middlename.label,This is the label for the middleName field,Middle name,Deuxième prénom(s)
field.name.surname.label,This is the label for the surname field,Last name,Nom(s)
file.upload.fileSize.error,Error message when the selected file is too large,File size must be less than {maxSize}mb,La taille du fichier doit être inférieure à {maxSize}M
file.upload.fileType.error,Error message when the selected file type is not supported,File format not supported. Please attach {types} (max {maxSize}mb),Format de fichier non pris en charge. Veuillez joindre un {types} (max {maxSize}mb)
flags.builtin.correction-requested.label,Label for flag,Correction requested,Correction demandée
flags.builtin.edit-in-progress.label,Flag label for edit in progress,Edit in progress,Modification en cours
flags.builtin.incomplete.label,Label for flag,Incomplete,Incomplet
flags.builtin.potential-duplicate.label,Label for flag,Potential duplicate,Doublon potentiel
flags.builtin.rejected.label,Label for flag,Rejected,Rejeté
form.field.dateRangepicker.checkbox.dateLabel,,{rangeStart} to {rangeEnd},{rangeStart} à {rangeEnd}
form.field.helpertext.nid,Helper text for nid input field,The National ID can only be numeric and must be 10 digits long,Le numéro d'identification national doit être uniquement numérique et comporter 10 chiffres
form.field.hideLabel,Button to hide section,Hide,Cacher
form.field.label.NID,,NID,NID
form.field.label.addFile,,Upload,Télécharger
form.field.label.app.whoContDet.app,,Informant,Informateur
form.field.label.app.whoContDet.father,,Father,Père
form.field.label.app.whoContDet.mother,,Mother,Mère
form.field.label.birthLocation,,Hospital / Clinic,Hôpital / Clinique
form.field.label.certificatePrintInAdvance,,Print in advance,Imprimer à l'avance pour les signatures et la collecte
form.field.label.changeOfficeWarningBody,,Changing this user's office will remove their in-progress drafts. Do you want to continue?,Changer le bureau de cet utilisateur supprimera ses brouillons en cours. Voulez-vous continuer ?
form.field.label.changeOfficeWarningTitle,,Change office?,Changer de bureau ?
form.field.label.cityUrbanOption,Label for City,Town,Ville
form.field.label.confirm,,Yes,Oui
form.field.label.country,,Country,Pays
form.field.label.creatingNewUser,,Creating new user,Créer un nouvel utilisateur
form.field.label.dateOfBirth,,Date of birth,Date de naissance
form.field.label.deny,,No,Non
form.field.label.district,Label for District,District,District
form.field.label.docTypeBirthCert,,Birth certificate,Certificat de la naissance
form.field.label.email,,Email,e-mail
form.field.label.familyName,,Last name,Nom de famille
form.field.label.fileSizeError,,File size must be less than 2MB,La taille du fichier doit être inférieure à 2 Mo
form.field.label.fileUploadError,,{type} supported image only,{type} format d'images accepté
form.field.label.firstName,,First name(s),Prénom(s)
form.field.label.firstNames,,First name(s),Prénom(s)
form.field.label.fullHonorificName,,Full Honorific Name,Nom complet avec titre
form.field.label.healthInstitution,Select item for Health Institution,Health Institution,Institution de santé
form.field.label.iD,,ID Number,Numéro d'identification
form.field.label.iDType,,Type of ID,Type d'identification
form.field.label.iDTypeAlienNumber,,Alien Number,Numéro d'étranger
form.field.label.iDTypeBRN,Option for form field: Type of ID,Birth Registration Number,Numéro d'enregistrement de naissance
form.field.label.iDTypeDRN,,Death Registration Number,Numéro d'enregistrement de décès
form.field.label.iDTypeDrivingLicense,,Drivers License,Permis de conduire
form.field.label.iDTypeNationalID,Option for form field: Type of ID,National ID,Carte d'identité nationale
form.field.label.iDTypeNoID,,No ID available,Aucune pièce d'identité disponible
form.field.label.iDTypeOther,,Other,Autre
form.field.label.iDTypeOtherLabel,,Other type of ID,Autre type de carte d'identité
form.field.label.iDTypePassport,Option for form field: Type of ID,Passport,Passeport
form.field.label.iDTypeRefugeeNumber,,Refugee Number,Numéro de réfugié
form.field.label.informant,Informant Label,Informant,Informateur
form.field.label.informantRelation.bride,Label for option bride,Bride,Mariée
form.field.label.informantRelation.brother,Label for option brother,Brother,Frère
form.field.label.informantRelation.daughter,Label for option Daughter,Daughter,Fille
form.field.label.informantRelation.daughterInLaw,Label for option Daughter in law,Daughter in law,Fille par alliance
form.field.label.informantRelation.extendedFamily,Label for option Extended Family,Extended Family,Famille élargie
form.field.label.informantRelation.father,Label for option father,Father,Père
form.field.label.informantRelation.granddaughter,Label for option Granddaughter,Granddaughter,Petite-fille
form.field.label.informantRelation.grandfather,Label for option Grandfather,Grandfather,Grand-père
form.field.label.informantRelation.grandmother,Label for option Grandmother,Grandmother,Grand-mère
form.field.label.informantRelation.grandson,Label for option Grandson,Grandson,Petit-fils
form.field.label.informantRelation.groom,Label for option groom,Groom,Marié
form.field.label.informantRelation.legalGuardian,Label for option Legal Guardian,Legal guardian,Tuteur légal
form.field.label.informantRelation.mother,Label for option mother,Mother,Mère
form.field.label.informantRelation.others,Label for option someone else,Someone else,Quelqu'un d'autre
form.field.label.informantRelation.sister,Label for option Sister,Sister,Sœur
form.field.label.informantRelation.son,Label for option Son,Son,Fils
form.field.label.informantRelation.sonInLaw,Label for option Son in law,Son in law,Fils par alliance
form.field.label.informantRelation.spouse,Label for option Spouse,Spouse,Conjoint
form.field.label.informantsRelationWithChild,,Relationship to child,Lien de parenté avec l'enfant
form.field.label.informantsRelationWithDeceased,,Relationship to deceased,Lien de parenté avec le défunt
form.field.label.lastName,,Last name,Nom de famille
form.field.label.locationLevel3,Label for locationLevel3,Location Level 3,Emplacement Niveau 3
form.field.label.locationLevel4,Label for locationLevel4,Location Level 4,Emplacement Niveau 4
form.field.label.locationLevel5,Label for locationLevel5,Location Level 5,Emplacement Niveau 5
form.field.label.multipleBirth,,No. of previous births,Nombre de naissances antérieures
form.field.label.optionalLabel,,Optional,Facultatif
form.field.label.otherOption,,Other,Autre
form.field.label.phoneNumber,,Phone number,Numéro de téléphone
form.field.label.placeOfBirth,,Location,Lieu
form.field.label.privateHome,Select item for Private Home,Residential address,Adresse de résidence
form.field.label.registrationOffice,,Registration Office,Bureau d'enregistrement
form.field.label.relationOtherFamilyMember,Label for other family member relation,Other family member,Autre membre de la famille
form.field.label.relationSomeoneElse,,Someone else,Quelqu'un d'autre
form.field.label.relationshipToSpouses,,Relationship to spouses,Relation avec les époux
form.field.label.self,The title that appears when selecting self as informant,Self,Soi-même
form.field.label.sex,,Sex,Sexe
form.field.label.sexFemale,Label for option female,Female,Femme
form.field.label.sexMale,Label for option male,Male,Homme
form.field.label.sexUnknown,Label for option unknown,Unknown,Inconnu
form.field.label.someoneElse,Other Label,Someone else,Quelqu'un d'autre
form.field.label.state,Label for State,Province,Province
form.field.label.typeOfId,,Type of ID,Type d'identification
form.field.label.updatingUser,,Updating user,Mise à jour de l'utilisateur
form.field.label.uploadDocForMother,,Mother,Mère
form.field.label.uploadFile,,Upload,Télécharger
form.field.label.userDevice,,Device,Dispositif
form.field.label.userFirstName,,User's first name,Prénom de l'utilisateur
form.field.label.userFullName,User's full English name,User's full name,Nom complet de l'utilisateur
form.field.label.userSignatureAttachment,,User's signature,Signature de l'utilisateur
form.field.label.userSignatureAttachmentTitle,,Upload signature,Joindre la signature
form.field.label.userSurname,,User's surname,Nom de famille de l'utilisateur
form.field.select.placeholder,,Select,Sélectionnez
form.field.tooltip.tooltipNationalID,,The National ID can only be numeric and must be 10 digits long,Il s'agit d'une info-bulle pour guider l'utilisateur dans la saisie de l'identifiant national.
form.section.bride.name,,Bride,Mariée
form.section.child.title,,Child's details,Détails de l'enfant
form.section.deceased.title,,Deceased's details,Information du défunt
form.section.documents.name,,Documents,Documents
form.section.documents.title,Form section title for documents,Upload supporting documents,Joindre des documents justificatifs
form.section.groom.name,,Groom,Marié
form.section.groom.title,,Groom's details,Détails du marié
form.section.informant.name,,Informant,Informateur
form.section.label.timePeriodLast30Days,Label for option of time period select: last 30 days,Last 30 days,les 30 derniers jours
form.section.label.timePeriodLast7Days,Label for option of time period select: last 7 days,Last 7 days,les 7 derniers jours
form.section.label.timePeriodLast90Days,Label for option of time period select: last 90 days,Last 90 days,les 90 derniers jours
